date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:34	4814/4814	---M--	200	added ('OK')	image/png	etag:%225c1b3ee5-12ce%22	http://getnajmul.com/theme/cryptonio/images/bounce/header1_b.png	getnajmul.com/theme/cryptonio/images/bounce/header1_b.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:40	9443/9443	---M--	200	added ('OK')	image/png	etag:%225c1b3ee8-24e3%22	http://getnajmul.com/theme/cryptonio/images/icons/benefits1-01.png	getnajmul.com/theme/cryptonio/images/icons/benefits1-01.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:42	9014/9014	---M--	200	added ('OK')	image/png	etag:%225c1b3eea-2336%22	http://getnajmul.com/theme/cryptonio/images/icons/benefits1-02.png	getnajmul.com/theme/cryptonio/images/icons/benefits1-02.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:44	9381/9381	---M--	200	added ('OK')	image/png	etag:%225c1b3eea-24a5%22	http://getnajmul.com/theme/cryptonio/images/icons/benefits1-03.png	getnajmul.com/theme/cryptonio/images/icons/benefits1-03.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:47	52460/52460	---M--	200	added ('OK')	image/png	etag:%225c1b3eaf-ccec%22	http://getnajmul.com/theme/cryptonio/images/about-01.png	getnajmul.com/theme/cryptonio/images/about-01.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:47	9841/9841	---M--	200	added ('OK')	image/png	etag:%225c1b3eeb-2671%22	http://getnajmul.com/theme/cryptonio/images/icons/benefits1-04.png	getnajmul.com/theme/cryptonio/images/icons/benefits1-04.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:50	3188/3188	---M--	200	added ('OK')	image/png	etag:%225c1b3f50-c74%22	http://getnajmul.com/theme/cryptonio/images/shape/home_6/token_1.png	getnajmul.com/theme/cryptonio/images/shape/home_6/token_1.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:50	2075/2075	---M--	200	added ('OK')	image/png	etag:%225c1b3f50-81b%22	http://getnajmul.com/theme/cryptonio/images/shape/home_6/token_2.png	getnajmul.com/theme/cryptonio/images/shape/home_6/token_2.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:52	35835/35835	---M--	200	added ('OK')	image/png	etag:%225c1b3eb5-8bfb%22	http://getnajmul.com/theme/cryptonio/images/benefits-01.png	getnajmul.com/theme/cryptonio/images/benefits-01.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:52	2768/2768	---M--	200	added ('OK')	image/png	etag:%225c1b3f51-ad0%22	http://getnajmul.com/theme/cryptonio/images/shape/home_6/token_3.png	getnajmul.com/theme/cryptonio/images/shape/home_6/token_3.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:54	2832/2832	---M--	200	added ('OK')	image/png	etag:%225c1b3f52-b10%22	http://getnajmul.com/theme/cryptonio/images/shape/home_6/token_4.png	getnajmul.com/theme/cryptonio/images/shape/home_6/token_4.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:06:56	5625/5625	---M--	200	added ('OK')	image/png	etag:%225c1b3f52-15f9%22	http://getnajmul.com/theme/cryptonio/images/shape/home_6/token_5.png	getnajmul.com/theme/cryptonio/images/shape/home_6/token_5.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:00	210558/210558	---M--	200	added ('OK')	image/png	etag:%225c1b3eb9-3367e%22	http://getnajmul.com/theme/cryptonio/images/header-01.png	getnajmul.com/theme/cryptonio/images/header-01.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:04	3284/3284	---M--	200	added ('OK')	image/png	etag:%225c1b3f08-cd4%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-1.png	getnajmul.com/theme/cryptonio/images/logos/partner6-1.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:04	19008/19008	---M--	200	added ('OK')	image/png	etag:%225c1b3f4c-4a40%22	http://getnajmul.com/theme/cryptonio/images/shape/home_6/road_map_3.png	getnajmul.com/theme/cryptonio/images/shape/home_6/road_map_3.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:04	40544/40544	---M--	200	added ('OK')	image/png	etag:%225c1b3f4b-9e60%22	http://getnajmul.com/theme/cryptonio/images/shape/home_6/road_map_2.png	getnajmul.com/theme/cryptonio/images/shape/home_6/road_map_2.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:04	3104/3104	---M--	200	added ('OK')	image/png	etag:%225c1b3f08-c20%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-2.png	getnajmul.com/theme/cryptonio/images/logos/partner6-2.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:04	4908/4908	---M--	200	added ('OK')	image/png	etag:%225c1b3f09-132c%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-3.png	getnajmul.com/theme/cryptonio/images/logos/partner6-3.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:05	4767/4767	---M--	200	added ('OK')	image/png	etag:%225c1b3f09-129f%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-4.png	getnajmul.com/theme/cryptonio/images/logos/partner6-4.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:06	4112/4112	---M--	200	added ('OK')	image/png	etag:%225c1b3f0a-1010%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-5.png	getnajmul.com/theme/cryptonio/images/logos/partner6-5.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:07	3880/3880	---M--	200	added ('OK')	image/png	etag:%225c1b3f0b-f28%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-6.png	getnajmul.com/theme/cryptonio/images/logos/partner6-6.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:08	4985/4985	---M--	200	added ('OK')	image/png	etag:%225c1b3f0c-1379%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-7.png	getnajmul.com/theme/cryptonio/images/logos/partner6-7.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:09	2590/2590	---M--	200	added ('OK')	image/png	etag:%225c1b3f0d-a1e%22	http://getnajmul.com/theme/cryptonio/images/logos/partner6-8.png	getnajmul.com/theme/cryptonio/images/logos/partner6-8.png	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:14	52730/52730	---M--	200	added ('OK')	image/jpeg	etag:%225c1b3f32-cdfa%22	http://getnajmul.com/theme/cryptonio/images/team/team-01.jpg	getnajmul.com/theme/cryptonio/images/team/team-01.jpg	(from http://getnajmul.com/theme/cryptonio/index-02.html)
